lofi_n,load_awareness,lofi_delta,link_failure_rate,test,drop_rate,delay,throughput,control_overhead, ttl_rate, no_entry_rate
0,False,0.05,0.05,1,7.1%,110.7,0.206622,0.000000,5.8%,0.0%
0,False,0.05,0.05,2,11.3%,106.6,0.196362,0.000000,7.0%,0.0%
0,False,0.05,0.05,3,3.5%,105.1,0.209061,0.000000,0.0%,0.0%
0,False,0.05,0.05,4,2.7%,108.4,0.205752,0.000000,1.3%,0.0%
0,False,0.05,0.05,5,6.8%,104.2,0.198867,0.000000,2.5%,0.0%
1,False,0.05,0.05,1,14.6%,110.7,0.188795,0.000774,10.9%,0.0%
1,False,0.05,0.05,2,9.7%,109.0,0.218561,0.000702,4.3%,0.0%
1,False,0.05,0.05,3,8.5%,108.3,0.205719,0.000862,4.7%,0.0%
1,False,0.05,0.05,4,15.0%,110.5,0.204634,0.000956,10.1%,0.0%
1,False,0.05,0.05,5,7.6%,111.1,0.195436,0.000888,4.2%,0.0%
2,False,0.05,0.05,1,1.6%,108.2,0.212210,0.001484,0.0%,0.0%
2,False,0.05,0.05,2,5.4%,111.7,0.215171,0.001548,4.0%,0.0%
2,False,0.05,0.05,3,5.4%,111.3,0.225143,0.001434,4.0%,0.0%
2,False,0.05,0.05,4,2.3%,109.1,0.231861,0.001564,0.5%,0.0%
2,False,0.05,0.05,5,7.7%,109.2,0.236724,0.001437,5.2%,0.0%
3,False,0.05,0.05,1,1.5%,106.6,0.225910,0.001840,0.0%,0.0%
3,False,0.05,0.05,2,3.1%,105.8,0.208733,0.002089,1.6%,0.0%
3,False,0.05,0.05,3,4.3%,111.6,0.224916,0.001922,2.9%,0.0%
3,False,0.05,0.05,4,2.0%,106.4,0.237555,0.001960,0.1%,0.0%
3,False,0.05,0.05,5,2.1%,109.7,0.221197,0.002245,0.7%,0.0%
4,False,0.05,0.05,1,1.5%,102.5,0.223523,0.002379,0.0%,0.0%
4,False,0.05,0.05,2,1.4%,102.1,0.203117,0.003124,0.0%,0.0%
4,False,0.05,0.05,3,1.4%,102.2,0.211496,0.002728,0.0%,0.0%
4,False,0.05,0.05,4,1.9%,102.6,0.242018,0.002989,0.0%,0.0%
4,False,0.05,0.05,5,5.3%,101.6,0.225271,0.003008,3.1%,0.0%
5,False,0.05,0.05,1,3.7%,113.4,0.219804,0.004858,2.1%,0.0%
5,False,0.05,0.05,2,1.4%,111.3,0.201658,0.004438,0.0%,0.0%
5,False,0.05,0.05,3,4.7%,116.8,0.218214,0.003975,3.2%,0.0%
5,False,0.05,0.05,4,4.9%,111.3,0.211779,0.004800,2.5%,0.0%
5,False,0.05,0.05,5,4.2%,114.2,0.200094,0.004237,2.6%,0.0%
-1,False,0.05,0.05,1,7.2%,92.2,0.036700,0.040478,0.0%,2.8%
